# Data from the supplement of Markov et al (2014). A weighted and directed interareal connectivity matrix for macaque cerebral cortex. Cerebral Cortex (New York, N.Y. : 1991), 24(1), 17–36. https://doi.org/10.1093/cercor/bhs270																																																																															
																																																																																			
1	M81LH	V2	V1	7.66e-01	86132	Known																																																																													
1	M81LH	V3	V1	8.26e-03	929	Known																																																																													
1	M81LH	V3A	V1	1.45e-03	163	Known																																																																													
1	M81LH	V4	V1	1.17e-01	13171	Known																																																																													
1	M81LH	V4t	V1	1.46e-03	164	Known																																																																													
1	M81LH	LIP	V1	1.14e-03	128	Known																																																																													
1	M81LH	PIP	V1	9.96e-04	112	Known																																																																													
1	M81LH	DP	V1	1.78e-04	20	NFP																																																																													
1	M81LH	STPr	V1	2.67e-05	3	NFP																																																																													
1	M81LH	STPi	V1	5.34e-04	60	Known																																																																													
1	M81LH	STPc	V1	1.25e-03	141	Known																																																																													
1	M81LH	PGa	V1	6.94e-04	78	Known																																																																													
1	M81LH	IPa	V1	4.52e-03	508	NFP																																																																													
1	M81LH	FST	V1	4.45e-03	500	Known																																																																													
1	M81LH	MST	V1	1.32e-02	1480	Known																																																																													
1	M81LH	MT	V1	5.95e-02	6690	Known																																																																													
1	M81LH	TEO	V1	7.52e-03	846	Known																																																																													
1	M81LH	TEOm	V1	4.09e-04	46	Known																																																																													
1	M81LH	PERI	V1	4.45e-04	50	Known																																																																													
1	M81LH	TEad	V1	3.56e-05	4	NFP																																																																													
1	M81LH	TEav	V1	2.76e-04	31	NFP																																																																													
1	M81LH	TEpd	V1	1.63e-03	183	Known																																																																													
1	M81LH	TEpv	V1	2.24e-03	252	Known																																																																													
1	M81LH	TEa/ma	V1	8.89e-06	1	NFP																																																																													
1	M81LH	TEa/mp	V1	2.83e-03	318	Known																																																																													
1	M81LH	TH/TF	V1	3.52e-03	396	Known																																																																													
1	M81LH	MB	V1	8.89e-06	1	Known																																																																													
1	M81LH	LB	V1	3.56e-05	4	Known																																																																													
1	M81LH	PBc	V1	1.42e-04	16	Known																																																																													
1	M81LH	8l	V1	1.42e-04	16	Known																																																																													
